date,price,market_cap,total_volume
2016-11-07,0.169278,8463900.0,259651.0
2016-11-08,0.161604,8080200.0,64894.0
2016-11-09,0.159842,7992100.0,53348.0
2016-11-10,0.168267,8413350.0,226910.0
2016-11-11,0.177127,8856350.0,91788.0
2016-11-12,0.168647,8432350.0,38885.0
2016-11-13,0.17103199999999996,8551599.999999998,46854.0
2016-11-14,0.184795,9239750.0,161387.0
2016-11-15,0.173897,8694850.0,56832.0
2016-11-16,0.168997,8449850.0,50670.0
2016-11-17,0.172803,8640150.0,117177.0
2016-11-18,0.172176,8608800.0,169360.0
2016-11-19,0.169929,8496450.0,20977.0
2016-11-20,0.170975,8548750.0,6887.0
2016-11-21,0.17489,8744500.0,13744.0
2016-11-22,0.167856,8392800.0,29939.0
2016-11-23,0.167078,8353900.0,19206.0
2016-11-24,0.172464,8623200.0,249957.0
2016-11-25,0.17451,8725500.0,148805.0
2016-11-26,0.17413600000000004,8706800.000000002,53454.0
2016-11-27,0.17302400000000004,8651200.000000002,34280.0
2016-11-28,0.16799200000000003,8399600.0,93203.0
2016-11-29,0.149957,7497850.0,121972.0
2016-11-30,0.144798,7239900.000000001,63298.0
2016-12-01,0.140101,7005050.0,62906.0
2016-12-02,0.141932,7096600.0,73164.0
2016-12-03,0.14244,7122000.0,121384.0
2016-12-04,0.147167,7358350.0,109601.0
2016-12-05,0.14147,7073500.000000001,71662.0
2016-12-06,0.13716,6858000.0,53500.0
2016-12-07,0.13746,6873000.0,52027.0
2016-12-08,0.136314,6815700.0,18906.0
2016-12-09,0.130126,6506300.0,66908.0
2016-12-10,0.124822,6241100.0,36087.0
2016-12-11,0.12338699999999997,6169349.999999998,36098.0
2016-12-12,0.130238,6511899.999999999,63554.0
2016-12-13,0.125627,6281350.0,31000.0
2016-12-14,0.120998,6049900.0,51023.0
2016-12-15,0.109834,5491700.0,38085.0
2016-12-16,0.114431,5721550.0,49515.0
2016-12-17,0.11028,5514000.0,62629.0
2016-12-18,0.11547300000000003,5773650.000000002,37480.0
2016-12-19,0.12151099999999998,6075549.999999999,55536.0
2016-12-20,0.120871,6043550.0,73917.0
2016-12-21,0.16504,8252000.0,617185.0
2016-12-22,0.156504,7825200.0,562047.0
2016-12-23,0.137581,6879050.0,187152.0
2016-12-24,0.146916,7345800.0,133535.0
2016-12-25,0.148222,7411100.0,238725.0
2016-12-26,0.166598,8329900.0,580344.0
2016-12-27,0.160812,8040600.0,265267.0
2016-12-28,0.150689,7534450.0,118045.0
2016-12-29,0.143583,7179149.999999999,97819.0
2016-12-30,0.147528,7376400.0,70629.0
2016-12-31,0.144763,7238150.0,60611.0
2017-01-01,0.141841,7092050.0,63901.0
2017-01-02,0.144258,7212900.0,73802.0
2017-01-03,0.140416,7020800.0,92459.0
2017-01-04,0.134864,6743200.000000001,92799.0
2017-01-05,0.131557,6577850.0,207552.0
2017-01-06,0.13536200000000004,6768100.000000001,55576.0
2017-01-07,0.131055,6552750.0,53797.0
2017-01-08,0.132646,6632300.0,67666.0
2017-01-09,0.123581,6179050.0,90561.0
2017-01-10,0.13387,6693500.0,126882.0
2017-01-11,0.115458,5772900.0,119385.0
2017-01-12,0.123142,6157100.0,60776.0
2017-01-13,0.121326,6066300.0,50380.0
2017-01-14,0.123049,6152450.0,9270.0
2017-01-15,0.12370399999999998,6185199.999999999,6952.0
2017-01-16,0.119563,5978150.0,5108.0
2017-01-17,0.11679799999999999,5839899.999999999,7971.0
2017-01-18,0.122891,6144550.0,7448.0
2017-01-19,0.116485,5824250.0,14967.0
2017-01-20,0.12415,6207500.0,16470.0
2017-01-21,0.12067,6033500.0,15685.0
2017-01-22,0.113929,5696450.0,6463.0
2017-01-23,0.119837,5991850.0,7141.0
2017-01-24,0.120736,6036800.0,6573.0
2017-01-25,0.12414500000000002,6207250.000000001,7024.0
2017-01-26,0.131145,6557250.000000001,7689.0
2017-01-27,0.13034899999999996,6517449.999999998,9245.0
2017-01-28,0.134672,6733599.999999999,7066.0
2017-01-29,0.140272,7013600.0,10259.0
2017-01-30,0.149629,7481450.0,10592.0
2017-01-31,0.147106,7355300.0,17819.0
2017-02-01,0.147117,7355850.0,4493.0
2017-02-02,0.147078,7353900.0,2857.0
2017-02-03,0.134154,6707700.0,9812.0
2017-02-04,0.13691999999999996,6845999.999999998,9600.0
2017-02-05,0.131871,6593550.0,3351.0
2017-02-06,0.133904,6695200.0,10234.0
2017-02-07,0.129439,6471950.0,8535.0
2017-02-08,0.129609,6480450.0,8271.0
2017-02-09,0.126667,6333350.0,10799.0
2017-02-10,0.125803,6290150.0,2606.0
2017-02-11,0.125465,6273250.0,593.0
2017-02-12,0.121633,6081650.0,3481.0
2017-02-13,0.118258,5912900.0,6976.0
2017-02-14,0.116605,5830250.0,6789.0
2017-02-15,0.112747,5637350.0,5691.0
2017-02-16,0.125973,6298650.0,10300.0
2017-02-17,0.123068,6153400.0,28858.0
2017-02-18,0.123629,6181450.0,13456.0
2017-02-19,0.122935,6146750.0,4324.0
2017-02-20,0.11943,5971500.0,7121.0
2017-02-21,0.11943,5971500.0,7121.0
2017-02-22,0.11943,5971500.0,7121.0
2017-02-23,0.11943,5971500.0,7121.0
2017-02-24,0.121336,6066800.0,17363.0
2017-02-25,0.11262,5631000.0,9354.0
2017-02-26,0.115004,5750200.0,8436.0
2017-02-27,0.115317,5765850.0,8956.0
2017-02-28,0.117427,5871350.0,19657.0
2017-03-01,0.130143,6507150.0,12878.0
2017-03-02,0.11934899999999997,5967449.999999999,8991.0
2017-03-03,0.124907,6245350.0,9315.0
2017-03-04,0.12001299999999998,6000649.999999999,6419.0
2017-03-05,0.121684,6084200.0,4189.0
2017-03-06,0.123497,6174850.0,10459.0
2017-03-07,0.122524,6126200.0,8325.0
2017-03-08,0.116329,5816450.0,5691.0
2017-03-09,0.131859,6592950.0,20580.0
2017-03-10,0.130382,6519100.0,34028.0
2017-03-11,0.139686,6984300.0,31546.0
2017-03-12,0.135622,6781100.0,37191.0
2017-03-13,0.137003,6850150.0,23095.0
2017-03-14,0.133776,6688800.0,24166.0
2017-03-15,0.129439,6471950.0,16162.0
2017-03-16,0.129652,6482600.0,21130.0
2017-03-17,0.14156399999999997,7078199.999999999,63917.0
2017-03-18,0.157962,7898100.0,186539.0
2017-03-19,0.154707,7735350.0,66172.0
2017-03-20,0.15382,7691000.0,68722.0
2017-03-21,0.166262,8313100.0,228998.0
2017-03-22,0.174404,8720200.0,164899.0
2017-03-23,0.16628100000000004,8314050.000000002,38272.0
2017-03-24,0.16493800000000003,8246900.000000002,49086.0
2017-03-25,0.167236,8361800.0,50652.0
2017-03-26,0.161543,8077150.0,37147.0
2017-03-27,0.185651,9282550.0,199571.0
2017-03-28,0.220506,11025300.0,823652.0
2017-03-29,0.212432,10621600.0,340105.0
2017-03-30,0.213922,10696100.0,515812.0
2017-03-31,0.201089,10054450.0,290952.0
2017-04-01,0.204897,10244850.0,111619.0
